City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kone,-21.0595,164.8658,63.54,81,94,5.46,NC,1691175915
margaret river,-33.95,115.0667,47.95,85,99,8.16,AU,1691175920
mount isa,-20.7333,139.5,69.57,46,100,8.05,AU,1691175924
vernon,50.2581,-119.2691,84.61,27,0,2.3,CA,1691175698
nouadhibou,20.931,-17.0347,73.38,78,90,21.85,MR,1691175927
hasaki,35.7333,140.8333,81.3,88,0,13.53,JP,1691175928
san patricio,28.017,-97.5169,101.12,37,6,18.14,US,1691175929
nagqu,31.5,92.0,45.48,90,100,11.43,CN,1691175931
bethel,41.3712,-73.414,77.36,74,100,8.05,US,1691175932
lihue,21.9789,-159.3672,81.64,72,10,12.28,US,1691175718
college,64.8569,-147.8028,76.46,65,100,2.75,US,1691175602
grytviken,-54.2811,-36.5092,26.83,84,57,9.04,GS,1691175936
ambovombe,-25.1667,46.0833,65.44,65,0,15.99,MG,1691175937
waitangi,-43.9535,-176.5597,43.83,89,96,1.99,NZ,1691175939
bridgewater,44.3835,-64.5155,72.1,71,15,11.5,CA,1691175940
invercargill,-46.4,168.35,35.02,98,100,3.0,NZ,1691175942
gadzhiyevo,69.2551,33.3362,66.34,75,100,15.46,RU,1691175943
laguna,38.421,-121.4238,87.64,51,0,4.61,US,1691175944
igrim,63.1906,64.4162,70.09,61,99,5.3,RU,1691175946
adamstown,-25.066,-130.1015,65.48,58,100,13.85,PN,1691175947
blackmans bay,-43.0167,147.3167,50.74,71,100,14.18,AU,1691175949
mil'kovo,55.6078,37.7956,74.52,62,32,6.22,RU,1691175950
panaba,21.2833,-88.2667,93.97,48,96,9.86,MX,1691175951
punta arenas,-53.15,-70.9167,37.33,78,99,17.38,CL,1691175751
port-aux-francais,-49.35,70.2167,35.22,65,100,20.38,TF,1691175954
north platte,41.1239,-100.7654,85.06,56,0,7.0,US,1691175955
hilo,19.7297,-155.09,83.28,77,75,6.91,US,1691175957
jamestown,42.097,-79.2353,81.01,54,0,11.5,US,1691175958
iqaluit,63.7506,-68.5145,55.13,66,75,6.91,CA,1691175959
yellowknife,62.456,-114.3525,79.32,34,75,11.5,CA,1691175961
st. john's,47.5649,-52.7093,72.79,69,40,9.22,CA,1691175688
la paz,-16.5,-68.15,60.78,14,20,6.91,BO,1691175739
udachny,66.4167,112.4,46.45,93,100,9.78,RU,1691175746
hermanus,-34.4187,19.2345,48.79,87,8,10.09,ZA,1691175968
xining,36.6167,101.7667,60.84,72,67,3.13,CN,1691175969
fort bragg,35.139,-79.006,82.04,81,96,4.0,US,1691175790
puerto ayora,-0.7393,-90.3518,87.76,92,94,8.01,EC,1691175787
papatowai,-46.5619,169.4708,38.08,84,99,4.52,NZ,1691175974
constantia,44.1833,28.65,74.08,82,0,11.1,RO,1691175975
khandud,36.9513,72.318,65.88,51,79,5.73,AF,1691175978
kiama,-34.6833,150.8667,57.58,71,100,3.65,AU,1691175979
castillos,-34.1667,-53.8333,60.24,53,62,5.95,UY,1691175981
